timestep,demand_th,demand_el,pv,wind,temperature
85,0.256127093,66987,5.66E-001,0.00E+000,-2.4
86,0.2549524913,66125,6.08E-001,0.00E+000,-1.1
87,0.2589620391,65285,2.94E-002,0.00E+000,-0.7
88,0.2677427087,64981,1.45E-002,0.00E+000,-1.1
89,0.2775301242,66346,0.00E+000,0.00E+000,-2.6
90,0.2933761694,69083,0.00E+000,5.07E-003,-3.0
91,0.3062412067,69137,0.00E+000,3.03E-002,-3.5
92,0.2953162858,66793,0.00E+000,3.03E-002,-4.0
93,0.2754339962,63158,0.00E+000,8.47E-002,-4.5
94,0.2359839151,61444,0.00E+000,8.50E-002,-4.9
95,0.1693646938,60893,0.00E+000,3.06E-002,-5.1
96,0.1625716563,56914,0.00E+000,8.52E-002,-5.5
97,0.1794790773,53612,0.00E+000,3.08E-002,-5.7
98,0.1843499891,51393,0.00E+000,3.06E-002,-5.8
99,0.1921710692,50016,0.00E+000,1.49E-004,-5.8
100,0.2060925642,49765,0.00E+000,8.54E-002,-5.9
101,0.2425124111,50219,0.00E+000,3.07E-002,-6.0
102,0.3210989225,51527,0.00E+000,5.16E-003,-6.0
103,0.3762403747,54993,0.00E+000,1.49E-004,-6.0
104,0.3632254499,60864,0.00E+000,3.08E-002,-6.0
105,0.3421186181,64401,4.77E-002,3.08E-002,-6.1
106,0.3233634261,65923,2.13E-001,3.07E-002,-5.3
107,0.300261879,67398,4.19E-001,5.12E-003,-4.5
108,0.2864017358,68884,5.40E-001,1.46E-004,-2.8
109,0.2776032688,68619,5.79E-001,1.44E-004,-1.8
110,0.2763301771,67762,6.14E-001,4.99E-003,-0.6
111,0.2806759242,66904,3.20E-002,1.44E-004,-0.3
112,0.2901928502,66747,1.61E-002,5.00E-003,-0.5
113,0.3008009374,67559,0.00E+000,3.00E-002,-0.7
114,0.3179756685,69811,0.00E+000,1.90E-001,-0.5
115,0.331919435,69336,0.00E+000,1.90E-001,-0.4
116,0.320078463,67075,0.00E+000,1.90E-001,-0.3
117,0.2985290497,63324,0.00E+000,1.90E-001,0.2
118,0.2557710917,61663,0.00E+000,3.39E-001,0.4
119,0.1835658699,61344,0.00E+000,1.90E-001,0.5
120,0.1762032383,57473,0.00E+000,1.90E-001,0.7
121,0.1727600376,54131,0.00E+000,1.90E-001,1.0
122,0.1774486003,51659,0.00E+000,1.89E-001,1.2
123,0.1849768878,50412,0.00E+000,8.31E-002,1.3
124,0.198377213,50107,0.00E+000,8.28E-002,1.5
125,0.2334336342,49880,0.00E+000,1.87E-001,1.5
126,0.3090781543,50353,0.00E+000,1.86E-001,1.4
127,0.3621553123,52352,0.00E+000,2.95E-002,1.5
128,0.3496276187,56965,0.00E+000,1.85E-001,1.7
129,0.3293109494,60110,2.48E-003,8.17E-002,1.9
130,0.3112578832,61737,1.57E-002,1.85E-001,1.7
131,0.2890211734,63287,3.47E-002,3.27E-001,1.8
132,0.2756799032,64673,1.82E-002,3.26E-001,2.1
133,0.2672108186,64465,1.82E-002,3.26E-001,2.3
134,0.2659853869,62666,1.41E-002,3.26E-001,2.7
135,0.2701684451,61315,6.62E-003,3.26E-001,3.0
136,0.2793290922,61032,2.48E-003,3.26E-001,3.5
137,0.2895400515,62412,0.00E+000,3.26E-001,3.4
138,0.3060718235,65597,0.00E+000,1.83E-001,3.4
139,0.3194935864,65062,0.00E+000,8.09E-002,2.8
140,0.308095897,62910,0.00E+000,1.83E-001,3.2
141,0.2873532149,59585,0.00E+000,3.25E-001,2.8
142,0.2461959584,58447,0.00E+000,3.25E-001,3.0
143,0.1766938357,59013,0.00E+000,3.25E-001,3.4
144,0.1696068341,56004,0.00E+000,1.83E-001,2.8
145,0.1469452338,53384,0.00E+000,1.83E-001,3.6
146,0.1500444621,51189,0.00E+000,8.07E-002,3.5
147,0.1569258683,49771,0.00E+000,8.07E-002,3.2
148,0.1740503842,48814,0.00E+000,8.08E-002,2.9
149,0.2175136794,48256,0.00E+000,8.08E-002,2.6
150,0.2993166845,46955,0.00E+000,2.91E-002,2.2
151,0.3541620446,45335,0.00E+000,2.91E-002,3.0
152,0.3316082816,47965,0.00E+000,4.88E-003,2.7
153,0.3062301219,52069,4.96E-003,4.89E-003,2.8
154,0.2851263663,55080,1.57E-002,4.89E-003,2.5
155,0.2630026701,57131,2.73E-002,1.42E-004,2.5
156,0.2502968704,58541,2.73E-002,4.90E-003,3.2
157,0.2435902264,58389,2.98E-002,4.90E-003,4.6
158,0.2437331516,57023,2.56E-002,1.42E-004,4.5
159,0.246778243,55879,2.07E-002,1.42E-004,5.0
160,0.2542671496,56123,6.62E-003,4.90E-003,4.6
161,0.2675343843,58006,0.00E+000,1.42E-004,4.2
162,0.2856671632,61971,0.00E+000,1.42E-004,4.1
163,0.297276272,61729,0.00E+000,1.42E-004,3.7
164,0.2837494791,59280,0.00E+000,4.91E-003,3.0
165,0.2626769986,55797,0.00E+000,4.92E-003,3.5
166,0.2184679538,54680,0.00E+000,4.92E-003,3.5
167,0.1507227637,55846,0.00E+000,4.92E-003,2.9
168,0.1441735159,53643,0.00E+000,1.42E-004,2.8
169,0.1237197599,50815,0.00E+000,4.92E-003,2.6
170,0.1263291388,48068,0.00E+000,1.42E-004,2.7
171,0.1321229022,46263,0.00E+000,1.42E-004,2.8
172,0.1465407975,45595,0.00E+000,4.92E-003,2.6
173,0.1831344883,44661,0.00E+000,4.93E-003,2.3
174,0.2520080944,42921,0.00E+000,2.94E-002,2.2
175,0.2981848543,40004,0.00E+000,1.43E-004,2.7
176,0.2791958332,40877,0.00E+000,1.43E-004,2.3
177,0.2578288263,43548,4.96E-003,1.43E-004,2.1
178,0.2400606312,47348,1.57E-002,1.43E-004,2.3
179,0.2214337026,50425,2.73E-002,1.43E-004,2.7
180,0.210736122,53722,5.54E-002,1.43E-004,2.8
181,0.2050894987,53304,3.47E-002,4.93E-003,2.9
182,0.2052098338,51111,4.38E-002,1.43E-004,2.9
183,0.2077736323,49698,2.32E-002,1.43E-004,2.8
184,0.2140788775,49188,6.62E-003,4.94E-003,2.7
185,0.2252491553,51425,0.00E+000,4.94E-003,2.6
186,0.2405159524,57200,0.00E+000,4.94E-003,2.6
187,0.2502901799,59011,0.00E+000,1.43E-004,2.6
188,0.2389013683,58199,0.00E+000,4.94E-003,2.1
189,0.2211595052,55698,0.00E+000,4.95E-003,1.9
190,0.1839379346,55811,0.00E+000,4.95E-003,1.4
191,0.1269002312,57368,0.00E+000,1.43E-004,1.2
192,0.1213861267,54557,0.00E+000,1.43E-004,0.8
193,0.1655940671,51983,0.00E+000,1.44E-004,0.5
194,0.1700881514,50296,0.00E+000,1.44E-004,0.0
195,0.1773041705,49342,0.00E+000,0.00E+000,-0.3
196,0.1901486592,49050,0.00E+000,4.97E-003,-0.3
197,0.2237509635,49604,0.00E+000,1.44E-004,-0.2
198,0.2962577996,52273,0.00E+000,1.44E-004,-0.1
199,0.3471333528,57473,0.00E+000,0.00E+000,-0.1
200,0.3351252995,66508,0.00E+000,1.43E-004,0.1
201,0.315651352,69029,4.96E-003,4.96E-003,0.2
202,0.2983471149,68969,1.41E-002,0.00E+000,0.4
203,0.2770327689,69553,2.32E-002,1.43E-004,0.5
204,0.2642448856,70171,3.23E-002,1.43E-004,0.7
205,0.256127093,69877,3.47E-002,1.43E-004,1.2
206,0.2549524913,69598,2.32E-002,1.43E-004,1.6
207,0.2589620391,68650,1.41E-002,1.43E-004,1.6
208,0.2677427087,68137,4.96E-003,1.44E-004,1.5
209,0.2775301242,68817,0.00E+000,1.44E-004,1.4
210,0.2933761694,72790,0.00E+000,4.96E-003,1.3
211,0.3062412067,72365,0.00E+000,1.44E-004,1.2
212,0.2953162858,70682,0.00E+000,1.44E-004,1.2
213,0.2754339962,67282,0.00E+000,0.00E+000,1.3
214,0.2359839151,65125,0.00E+000,1.44E-004,0.9
215,0.1693646938,64316,0.00E+000,1.44E-004,0.5
216,0.1625716563,60893,0.00E+000,4.97E-003,0.2
217,0.1154860344,58523,0.00E+000,4.98E-003,0.1
218,0.1179217554,57376,0.00E+000,1.44E-004,0.1
219,0.1233299357,56567,0.00E+000,1.44E-004,0.1
220,0.1367882996,55771,0.00E+000,1.44E-004,-0.1
221,0.1709466284,55879,0.00E+000,1.44E-004,-0.7
222,0.2352365983,56020,0.00E+000,1.44E-004,-1.4
223,0.2783402294,61632,0.00E+000,1.43E-004,-1.7
224,0.2606149545,68683,0.00E+000,1.43E-004,-1.9
225,0.2406699522,70489,4.96E-003,4.96E-003,-2.0
226,0.2240842557,69878,1.41E-002,1.43E-004,-0.9
227,0.2066969757,70404,1.82E-002,1.43E-004,0.2
228,0.1967113342,71033,2.07E-002,4.96E-003,0.3
229,0.1914405016,70751,1.82E-002,4.96E-003,0.5
230,0.1915528283,70261,1.41E-002,1.43E-004,0.3
231,0.1939460024,69471,9.10E-003,1.43E-004,0.2
232,0.1998316246,68884,4.96E-003,1.43E-004,0.3
233,0.2102585046,69466,0.00E+000,0.00E+000,-0.1
234,0.2245092746,73225,0.00E+000,0.00E+000,-0.4
235,0.2336330134,72929,0.00E+000,1.43E-004,-0.8
236,0.2230021434,70986,0.00E+000,1.43E-004,-1.2
237,0.2064410265,67225,0.00E+000,0.00E+000,-1.5
238,0.1716966041,65453,0.00E+000,1.44E-004,-1.7
239,0.1184548408,64891,0.00E+000,1.44E-004,-1.8
240,0.1133077078,61245,0.00E+000,1.44E-004,-2.0
241,0.1469452338,58392,0.00E+000,1.44E-004,-1.9
242,0.1500444621,56713,0.00E+000,4.96E-003,-2.0
243,0.1569258683,55458,0.00E+000,4.96E-003,-2.1
244,0.1740503842,54832,0.00E+000,2.97E-002,-2.3
245,0.2175136794,55110,0.00E+000,1.44E-004,-2.5
246,0.2993166845,56961,0.00E+000,8.28E-002,-2.8
247,0.3541620446,62184,0.00E+000,4.99E-003,-3.0
248,0.3316082816,69025,0.00E+000,5.01E-003,-3.0
249,0.3062301219,70903,1.41E-002,5.01E-003,-2.7
250,0.2851263663,70365,2.98E-002,5.03E-003,-2.1
251,0.2630026701,70814,4.13E-002,1.45E-004,-1.7
252,0.2502968704,71364,5.04E-002,1.45E-004,-1.1
253,0.2435902264,70875,5.95E-002,1.45E-004,-0.3
254,0.2437331516,70344,4.80E-002,1.44E-004,0.0
255,0.246778243,69729,3.23E-002,4.99E-003,0.3
256,0.2542671496,69409,1.41E-002,4.98E-003,0.3
257,0.2675343843,70701,0.00E+000,1.44E-004,0.9
258,0.2856671632,74262,0.00E+000,4.98E-003,1.1
259,0.297276272,73501,0.00E+000,4.97E-003,1.5
260,0.2837494791,71085,0.00E+000,4.98E-003,1.9
261,0.2626769986,67118,0.00E+000,2.96E-002,1.9
262,0.2184679538,65233,0.00E+000,2.95E-002,2.0
263,0.1507227637,64196,0.00E+000,2.94E-002,2.0
264,0.1441735159,59993,0.00E+000,2.93E-002,2.3
265,0.1655940671,57001,0.00E+000,8.15E-002,2.2
266,0.1700881514,54934,0.00E+000,2.93E-002,2.5
267,0.1773041705,53541,0.00E+000,2.93E-002,2.6
268,0.1901486592,53067,0.00E+000,8.15E-002,2.7
269,0.2237509635,53492,0.00E+000,8.15E-002,2.5
270,0.2962577996,55126,0.00E+000,2.93E-002,2.2
271,0.3471333528,60726,0.00E+000,2.93E-002,2.0
272,0.3351252995,67752,0.00E+000,8.15E-002,1.8
273,0.315651352,70029,6.62E-003,2.93E-002,2.0
274,0.2983471149,69734,2.07E-002,2.93E-002,2.2
275,0.2770327689,70332,2.56E-002,2.92E-002,2.1
276,0.2642448856,71067,3.23E-002,2.92E-002,2.3
277,0.256127093,70494,1.82E-002,2.92E-002,2.3
278,0.2549524913,70016,1.57E-002,2.92E-002,2.6
279,0.2589620391,69271,9.10E-003,2.92E-002,2.9
280,0.2677427087,68649,2.48E-003,8.14E-002,3.1
281,0.2775301242,69322,0.00E+000,2.92E-002,3.1
282,0.2933761694,72563,0.00E+000,4.90E-003,3.1
283,0.3062412067,72136,0.00E+000,4.90E-003,2.8
284,0.2953162858,70231,0.00E+000,1.42E-004,2.9
285,0.2754339962,66672,0.00E+000,1.42E-004,2.8
286,0.2359839151,64643,0.00E+000,1.42E-004,2.7
287,0.1693646938,63672,0.00E+000,1.42E-004,2.7
288,0.1625716563,59577,0.00E+000,0.00E+000,2.5
289,0.1154860344,56234,0.00E+000,0.00E+000,2.7
290,0.1179217554,54669,0.00E+000,1.42E-004,2.7
291,0.1233299357,53601,0.00E+000,0.00E+000,2.7
292,0.1367882996,53106,0.00E+000,4.92E-003,2.9
293,0.1709466284,53766,0.00E+000,2.94E-002,3.0
294,0.2352365983,55346,0.00E+000,0.00E+000,3.0
295,0.2783402294,60940,0.00E+000,1.42E-004,2.9
296,0.2606149545,67878,0.00E+000,4.92E-003,2.8
297,0.2406699522,70179,6.62E-003,4.93E-003,2.5
298,0.2240842557,70016,2.73E-002,4.93E-003,2.6
299,0.2066969757,70674,5.29E-002,4.93E-003,3.2
300,0.1967113342,70803,7.36E-002,4.92E-003,4.2
301,0.1914405016,70154,5.95E-002,4.91E-003,4.9
302,0.1915528283,68727,2.98E-002,4.91E-003,5.2
303,0.1939460024,67281,3.64E-002,4.90E-003,5.6
304,0.1998316246,66457,6.62E-003,1.42E-004,4.9
305,0.2102585046,67659,0.00E+000,4.91E-003,3.9
306,0.2245092746,72132,0.00E+000,4.92E-003,3.3
307,0.2336330134,71849,0.00E+000,2.93E-002,2.5
308,0.2230021434,69042,0.00E+000,4.92E-003,2.0
309,0.2064410265,64744,0.00E+000,4.92E-003,1.5
310,0.1716966041,63176,0.00E+000,4.93E-003,1.4
311,0.1184548408,63396,0.00E+000,2.94E-002,1.0
312,0.1133077078,60863,0.00E+000,2.94E-002,0.7
313,0.1237197599,58544,0.00E+000,2.95E-002,0.5
314,0.1263291388,56780,0.00E+000,4.96E-003,0.4
315,0.1321229022,55523,0.00E+000,2.96E-002,0.1
316,0.1465407975,54112,0.00E+000,4.98E-003,-0.3
317,0.1831344883,52934,0.00E+000,4.99E-003,-0.4
318,0.2520080944,51216,0.00E+000,2.98E-002,-0.6
319,0.2981848543,49198,0.00E+000,4.99E-003,-0.6
320,0.2791958332,51779,0.00E+000,2.99E-002,-0.5
321,0.2578288263,55118,5.24E-002,5.01E-003,-0.8
322,0.2400606312,57858,1.98E-001,2.98E-002,-0.4
323,0.2214337026,59637,2.36E-001,4.97E-003,0.7
324,0.210736122,60472,2.98E-001,2.96E-002,2.0
325,0.2050894987,59843,3.94E-001,4.91E-003,2.5
326,0.2052098338,57838,3.53E-001,4.92E-003,3.0
327,0.2077736323,56117,6.04E-002,2.95E-002,3.4
328,0.2140788775,55618,2.34E-002,1.43E-004,2.9
329,0.2252491553,56848,0.00E+000,2.96E-002,2.7
330,0.2405159524,62758,0.00E+000,2.96E-002,2.5
331,0.2502901799,63510,0.00E+000,1.86E-001,2.3
332,0.2389013683,61141,0.00E+000,8.25E-002,2.1
333,0.2211595052,57637,0.00E+000,2.97E-002,2.2
334,0.1839379346,56597,0.00E+000,8.27E-002,2.1
335,0.1269002312,58090,0.00E+000,1.87E-001,1.8
336,0.1213861267,55881,0.00E+000,8.28E-002,1.8
337,0.1395121852,53440,0.00E+000,1.87E-001,1.8
338,0.1424546429,51353,0.00E+000,8.27E-002,1.6
339,0.1489879614,50067,0.00E+000,2.97E-002,1.7
340,0.1652462541,49013,0.00E+000,2.98E-002,1.8
341,0.2065110107,48102,0.00E+000,8.30E-002,1.8
342,0.2841761088,46038,0.00E+000,8.29E-002,2.0
343,0.3362471821,42470,0.00E+000,2.98E-002,2.2
344,0.3148342741,43319,0.00E+000,8.30E-002,2.4
345,0.2907398382,46616,6.03E-002,2.98E-002,2.1
346,0.2707035908,50455,2.35E-001,8.27E-002,2.3
347,0.2496989953,53355,3.95E-001,8.23E-002,2.5
348,0.2376359032,56000,4.95E-001,2.94E-002,2.8
349,0.2312685068,54976,5.26E-001,2.91E-002,2.8
350,0.2314042023,52784,5.05E-001,8.13E-002,3.0
351,0.2342952614,51228,4.41E-002,8.13E-002,2.7
352,0.2414053506,50602,2.12E-002,2.92E-002,2.5
353,0.2540014781,52076,0.00E+000,2.93E-002,2.5
354,0.2712170322,58460,0.00E+000,8.17E-002,2.2
355,0.282238908,60698,0.00E+000,2.94E-002,2.1
356,0.2693963518,59731,0.00E+000,8.20E-002,1.8
357,0.2493897975,57711,0.00E+000,8.21E-002,1.6
358,0.2074170142,57750,0.00E+000,8.22E-002,1.5
359,0.1430986333,59727,0.00E+000,8.23E-002,1.5
360,0.1368806714,57482,0.00E+000,2.96E-002,1.5
361,0.1395121852,55462,0.00E+000,2.97E-002,0.9
362,0.1424546429,54198,0.00E+000,8.26E-002,0.7
363,0.1489879614,52872,0.00E+000,8.27E-002,0.7
364,0.1652462541,51882,0.00E+000,8.26E-002,0.7
365,0.2065110107,52067,0.00E+000,2.98E-002,0.9
366,0.2841761088,54993,0.00E+000,8.29E-002,1.2
367,0.3362471821,61382,0.00E+000,2.98E-002,1.4
368,0.3148342741,68988,0.00E+000,8.30E-002,1.5
369,0.2907398382,70782,5.99E-002,2.98E-002,1.8
370,0.2707035908,70579,2.41E-001,2.97E-002,1.8
371,0.2496989953,70854,3.93E-001,4.96E-003,1.9
372,0.2376359032,70963,4.79E-001,1.42E-004,2.5
373,0.2312685068,70635,4.97E-001,1.41E-004,2.8
374,0.2314042023,70194,1.63E-001,0.00E+000,2.9
375,0.2342952614,69364,2.98E-002,0.00E+000,3.0
376,0.2414053506,68518,9.10E-003,1.42E-004,2.9
377,0.2540014781,68274,0.00E+000,4.90E-003,3.1
378,0.2712170322,73090,0.00E+000,4.90E-003,2.7
379,0.282238908,73515,0.00E+000,2.93E-002,2.1
380,0.2693963518,71415,0.00E+000,4.90E-003,2.2
381,0.2493897975,68137,0.00E+000,2.93E-002,2.2
382,0.2074170142,65873,0.00E+000,2.92E-002,2.3
383,0.1430986333,65062,0.00E+000,2.92E-002,2.6
384,0.1368806714,61461,0.00E+000,4.90E-003,2.7
385,0.131751677,58640,0.00E+000,2.92E-002,2.6
386,0.1345304574,57136,0.00E+000,2.92E-002,2.7
387,0.1407003534,55883,0.00E+000,2.92E-002,2.8
388,0.1560542619,55199,0.00E+000,2.92E-002,2.9
389,0.1950236241,55369,0.00E+000,2.91E-002,2.9
390,0.2683685216,57191,0.00E+000,2.92E-002,2.9
391,0.3175430881,62659,0.00E+000,4.89E-003,2.9
392,0.2973212951,69861,0.00E+000,2.92E-002,3.0
393,0.2745671369,71750,2.56E-002,2.92E-002,2.9
394,0.2556454262,71830,1.53E-001,2.92E-002,3.0
395,0.2358092329,72505,2.39E-001,8.11E-002,3.1
396,0.2244171627,73261,3.37E-001,8.07E-002,3.5
397,0.2184039591,72945,3.76E-001,2.88E-002,3.8
398,0.2185321065,72364,1.37E-001,2.89E-002,4.1
399,0.2212623474,71928,6.89E-002,2.89E-002,4.2
400,0.2279769307,71694,3.67E-002,4.85E-003,4.1
401,0.2398723857,71736,0.00E+000,8.10E-002,4.0
402,0.2561303069,74611,0.00E+000,2.92E-002,3.8
403,0.2665390796,74040,0.00E+000,1.84E-001,3.8
404,0.2544109037,71763,0.00E+000,8.13E-002,3.8
405,0.2355172345,67807,0.00E+000,2.92E-002,3.5
406,0.1958792303,65824,0.00E+000,2.93E-002,3.4
407,0.1351386253,64234,0.00E+000,2.93E-002,3.6
408,0.1292665438,59951,0.00E+000,2.93E-002,3.9
409,0.1237197599,56762,0.00E+000,2.93E-002,4.0
410,0.1263291388,54922,0.00E+000,8.13E-002,4.0
411,0.1321229022,53690,0.00E+000,2.92E-002,4.1
412,0.1465407975,53535,0.00E+000,2.92E-002,3.7
413,0.1831344883,54712,0.00E+000,2.92E-002,3.8
414,0.2520080944,56915,0.00E+000,2.92E-002,3.8
415,0.2981848543,62686,0.00E+000,2.92E-002,3.9
416,0.2791958332,69322,0.00E+000,2.91E-002,3.9
417,0.2578288263,71029,2.56E-002,8.10E-002,4.4
418,0.2400606312,70669,1.33E-001,2.90E-002,4.8
419,0.2214337026,71503,1.30E-001,2.89E-002,4.8
420,0.210736122,72536,1.22E-001,2.88E-002,4.9
421,0.2050894987,71628,1.22E-001,2.87E-002,4.9
422,0.2052098338,71081,4.38E-002,8.00E-002,5.5
423,0.2077736323,70395,1.82E-002,8.03E-002,5.3
424,0.2140788775,69831,4.96E-003,8.04E-002,5.2
425,0.2252491553,69647,0.00E+000,1.82E-001,4.9
426,0.2405159524,73000,0.00E+000,8.05E-002,3.8
427,0.2502901799,73145,0.00E+000,8.05E-002,3.5
428,0.2389013683,70824,0.00E+000,8.04E-002,3.1
429,0.2211595052,66901,0.00E+000,1.82E-001,2.7
430,0.1839379346,65054,0.00E+000,8.04E-002,2.5
431,0.1269002312,63689,0.00E+000,1.82E-001,2.3
432,0.1213861267,59799,0.00E+000,8.04E-002,2.9
433,0.0805337788,56471,0.00E+000,8.04E-002,2.2
434,0.0831244629,55079,0.00E+000,8.04E-002,2.2
435,0.0879323558,54167,0.00E+000,8.04E-002,2.6
436,0.1022871201,53879,0.00E+000,1.82E-001,2.8
437,0.139037883,54474,0.00E+000,8.04E-002,2.8
438,0.1858856502,56059,0.00E+000,8.04E-002,2.8
439,0.2054020934,61441,0.00E+000,8.03E-002,2.8
440,0.192821022,68450,0.00E+000,2.88E-002,3.0
441,0.1729566842,70127,1.41E-002,8.01E-002,3.7
442,0.1573130772,69535,6.20E-002,7.99E-002,4.1
443,0.1439871948,70160,5.04E-002,7.96E-002,4.9
444,0.134547108,70900,3.47E-002,1.80E-001,5.8
445,0.129526672,70204,4.13E-002,1.80E-001,6.3
446,0.1281142426,69809,2.32E-002,3.19E-001,7.0
447,0.1298577221,69361,1.82E-002,1.79E-001,7.4
448,0.135315582,68744,1.16E-002,1.79E-001,7.3
449,0.1469737268,68714,0.00E+000,1.79E-001,6.7
450,0.1596110157,72615,0.00E+000,1.79E-001,6.6
451,0.1674130372,73013,0.00E+000,1.80E-001,6.6
452,0.1603220202,70881,0.00E+000,3.20E-001,6.5
453,0.1453005856,66842,0.00E+000,3.20E-001,6.3
454,0.1166160704,64411,0.00E+000,3.20E-001,5.9
455,0.0836611198,63733,0.00E+000,3.20E-001,5.5
456,0.0788687163,59865,0.00E+000,3.20E-001,5.7
457,0.0728340042,55827,0.00E+000,3.20E-001,5.7
458,0.075176995,54134,0.00E+000,5.00E-001,4.9
459,0.0795252088,53218,0.00E+000,3.20E-001,4.5
460,0.0925075248,52750,0.00E+000,3.20E-001,4.1
461,0.1257445746,53250,0.00E+000,5.01E-001,3.9
462,0.1681132618,55246,0.00E+000,3.20E-001,3.7
