time,HP (W),PV (W),EL (W)
2024-04-01 07:25:00z,30,427,363
2024-04-01 07:30:00z,30,388,466
2024-04-01 07:35:00z,2516,379,296
2024-04-01 07:40:00z,709,348,368
2024-04-01 07:45:00z,32,363,584
2024-04-01 07:50:00z,30,377,375
2024-04-01 07:55:00z,30,358,549
2024-04-01 08:00:00z,1234,348,320
2024-04-01 08:05:00z,1976,416,483
2024-04-01 08:10:00z,33,401,422
2024-04-01 08:15:00z,31,470,397
2024-04-01 08:20:00z,30,467,471
2024-04-01 08:25:00z,30,447,286
2024-04-01 08:30:00z,2612,475,545
2024-04-01 08:35:00z,697,523,444
2024-04-01 08:40:00z,32,623,496
2024-04-01 08:45:00z,30,601,497
2024-04-01 08:50:00z,30,446,330
2024-04-01 08:55:00z,62,361,497
2024-04-01 09:00:00z,3223,342,325
2024-04-01 09:05:00z,70,298,492
2024-04-01 09:10:00z,32,299,526
2024-04-01 09:15:00z,30,381,444
2024-04-01 09:20:00z,30,432,552
2024-04-01 09:25:00z,60,486,279
2024-04-01 09:30:00z,3227,622,448
2024-04-01 09:35:00z,49,921,323
2024-04-01 09:40:00z,31,1404,394
2024-04-01 09:45:00z,29,1515,456
2024-04-01 09:50:00z,30,1584,344
2024-04-01 09:55:00z,66,1615,537
2024-04-01 10:00:00z,2595,1892,475
2024-04-01 10:05:00z,32,2066,373
2024-04-01 10:10:00z,31,2302,469
2024-04-01 10:15:00z,29,2401,302
2024-04-01 10:20:00z,29,2277,1430
2024-04-01 10:25:00z,31,2346,2415
2024-04-01 10:30:00z,1849,2145,2407
2024-04-01 10:35:00z,1316,1999,3706
2024-04-01 10:40:00z,32,2215,2640
2024-04-01 10:45:00z,29,2423,2206
2024-04-01 10:50:00z,29,2431,1308
2024-04-01 10:55:00z,29,2747,510
2024-04-01 11:00:00z,29,4233,551
2024-04-01 11:05:00z,1266,4666,273
2024-04-01 11:10:00z,1284,3064,417
2024-04-01 11:15:00z,32,2931,446
2024-04-01 11:20:00z,29,2673,360
2024-04-01 11:25:00z,29,2304,477
2024-04-01 11:30:00z,29,2310,289
2024-04-01 11:35:00z,29,2921,356
2024-04-01 11:40:00z,64,3328,406
2024-04-01 11:45:00z,2349,3377,316
2024-04-01 11:50:00z,32,3702,494
2024-04-01 11:55:00z,30,3607,434
2024-04-01 12:00:00z,29,2710,458
2024-04-01 12:05:00z,29,2132,578
2024-04-01 12:10:00z,29,2080,325
2024-04-01 12:15:00z,29,2359,507
2024-04-01 12:20:00z,645,2641,412
2024-04-01 12:25:00z,2474,2598,392
2024-04-01 12:30:00z,32,3393,499
2024-04-01 12:35:00z,30,4189,378
2024-04-01 12:40:00z,29,4883,653
2024-04-01 12:45:00z,29,4817,562
2024-04-01 12:50:00z,29,4326,416
2024-04-01 12:55:00z,29,3635,379
2024-04-01 13:00:00z,630,2610,411
2024-04-01 13:05:00z,1853,1599,263
2024-04-01 13:10:00z,32,719,490
2024-04-01 13:15:00z,30,755,639
2024-04-01 13:20:00z,29,778,457
2024-04-01 13:25:00z,30,1638,531
2024-04-01 13:30:00z,630,2822,415
2024-04-01 13:35:00z,3051,1906,207
2024-04-01 13:40:00z,48,1513,416
2024-04-01 13:45:00z,31,1362,412
2024-04-01 13:50:00z,30,1128,354
2024-04-01 13:55:00z,30,1224,462
2024-04-01 14:00:00z,31,1507,467
2024-04-01 14:05:00z,2521,1659,272
2024-04-01 14:10:00z,49,1706,516
2024-04-01 14:15:00z,31,1915,462
2024-04-01 14:20:00z,30,1861,336
2024-04-01 14:25:00z,30,1680,413
2024-04-01 14:30:00z,30,1807,435
2024-04-01 14:35:00z,1894,1765,248
2024-04-01 14:40:00z,667,1745,323
2024-04-01 14:45:00z,32,1874,391
2024-04-01 14:50:00z,30,2213,223
2024-04-01 14:55:00z,30,2334,469
2024-04-01 15:00:00z,30,2347,464
2024-04-01 15:05:00z,1849,1937,281
2024-04-01 15:10:00z,1285,2029,409
2024-04-01 15:15:00z,32,1391,386
2024-04-01 15:20:00z,30,1255,302
2024-04-01 15:25:00z,29,985,299
2024-04-01 15:30:00z,29,1212,408
2024-04-01 15:35:00z,31,1419,439
2024-04-01 15:40:00z,2495,1489,498
2024-04-01 15:45:00z,679,625,575
2024-04-01 15:50:00z,32,341,461
2024-04-01 15:55:00z,30,455,339
2024-04-01 16:00:00z,30,418,461
2024-04-01 16:05:00z,67,405,340
2024-04-01 16:10:00z,3153,503,395
2024-04-01 16:15:00z,49,623,502
2024-04-01 16:20:00z,31,816,367
2024-04-01 16:25:00z,29,1102,530
2024-04-01 16:30:00z,29,1231,381
2024-04-01 16:35:00z,2546,1232,395
2024-04-01 16:40:00z,1322,964,519
2024-04-01 16:45:00z,32,476,297
2024-04-01 16:50:00z,29,301,445
2024-04-01 16:55:00z,29,245,401
2024-04-01 17:00:00z,29,150,446
2024-04-01 17:05:00z,41,114,477
2024-04-01 17:10:00z,3099,178,352
2024-04-01 17:15:00z,47,121,418
2024-04-01 17:20:00z,31,68,304
2024-04-01 17:25:00z,29,28,310
2024-04-01 17:30:00z,29,37,419
2024-04-01 17:35:00z,54,40,264
2024-04-01 17:40:00z,3140,78,464
2024-04-01 17:45:00z,47,35,365
2024-04-01 17:50:00z,31,15,397
2024-04-01 17:55:00z,29,9,416
2024-04-01 18:00:00z,30,5,250
2024-04-01 18:05:00z,1314,11,423
2024-04-01 18:10:00z,2600,7,283
2024-04-01 18:15:00z,32,0,399
2024-04-01 18:20:00z,30,0,457
2024-04-01 18:25:00z,29,0,384
2024-04-01 18:30:00z,29,0,507
2024-04-01 18:35:00z,57,0,295
2024-04-01 18:40:00z,3174,2,414
2024-04-01 18:45:00z,710,0,306
2024-04-01 18:50:00z,31,0,348
2024-04-01 18:55:00z,29,0,355
2024-04-01 19:00:00z,29,0,298
2024-04-01 19:05:00z,29,0,424
2024-04-01 19:10:00z,2568,2,309
2024-04-01 19:15:00z,704,0,438
2024-04-01 19:20:00z,31,0,219
2024-04-01 19:25:00z,29,0,390
2024-04-01 19:30:00z,29,0,220
2024-04-01 19:35:00z,1285,0,335
2024-04-01 19:40:00z,2639,2,174
2024-04-01 19:45:00z,47,0,424
2024-04-01 19:50:00z,30,0,344
2024-04-01 19:55:00z,29,0,478
2024-04-01 20:00:00z,30,0,317
2024-04-01 20:05:00z,29,0,363
2024-04-01 20:10:00z,29,0,357
2024-04-01 20:15:00z,29,0,337
2024-04-01 20:20:00z,29,0,324
2024-04-01 20:25:00z,29,0,373
2024-04-01 20:30:00z,29,0,395
2024-04-01 20:35:00z,29,0,355
2024-04-01 20:40:00z,28,0,388
2024-04-01 20:45:00z,26,0,209
2024-04-01 20:50:00z,26,0,428
2024-04-01 20:55:00z,26,0,188
2024-04-01 21:00:00z,26,0,359
2024-04-01 21:05:00z,27,0,159
2024-04-01 21:10:00z,27,0,431
2024-04-01 21:15:00z,27,0,261
2024-04-01 21:20:00z,27,0,413
2024-04-01 21:25:00z,27,0,212
2024-04-01 21:30:00z,27,0,319
2024-04-01 21:35:00z,28,0,197
2024-04-01 21:40:00z,28,0,306
2024-04-01 21:45:00z,28,0,213
2024-04-01 21:50:00z,28,0,319
2024-04-01 21:55:00z,28,0,331
2024-04-01 22:00:00z,28,0,283
2024-04-01 22:05:00z,28,0,293
2024-04-01 22:10:00z,28,0,166
2024-04-01 22:15:00z,28,0,338
2024-04-01 22:20:00z,28,0,167
2024-04-01 22:25:00z,28,0,296
2024-04-01 22:30:00z,28,0,239
2024-04-01 22:35:00z,28,0,327
2024-04-01 22:40:00z,28,0,323
2024-04-01 22:45:00z,28,0,255
2024-04-01 22:50:00z,28,0,291
2024-04-01 22:55:00z,28,0,167
2024-04-01 23:00:00z,28,0,336
2024-04-01 23:05:00z,28,0,168
2024-04-01 23:10:00z,28,0,295
2024-04-01 23:15:00z,28,0,283
2024-04-01 23:20:00z,28,0,285
2024-04-01 23:25:00z,28,0,389
2024-04-01 23:30:00z,28,0,222
2024-04-01 23:35:00z,28,0,397
2024-04-01 23:40:00z,28,0,221
2024-04-01 23:45:00z,28,0,300
2024-04-01 23:50:00z,28,0,254
2024-04-01 23:55:00z,29,0,309
2024-04-02 00:00:00z,28,0,413
2024-04-02 00:05:00z,29,0,225
2024-04-02 00:10:00z,29,0,370
2024-04-02 00:15:00z,29,0,227
2024-04-02 00:20:00z,29,0,218
2024-04-02 00:25:00z,29,0,243
2024-04-02 00:30:00z,29,0,165
2024-04-02 00:35:00z,29,0,311
2024-04-02 00:40:00z,29,0,281
2024-04-02 00:45:00z,29,0,284
2024-04-02 00:50:00z,29,0,350
2024-04-02 00:55:00z,29,0,166
2024-04-02 01:00:00z,29,0,293
2024-04-02 01:05:00z,29,0,207
2024-04-02 01:10:00z,29,0,212
2024-04-02 01:15:00z,29,0,289
2024-04-02 01:20:00z,29,0,180
2024-04-02 01:25:00z,29,0,365
2024-04-02 01:30:00z,29,0,279
2024-04-02 01:35:00z,29,0,225
2024-04-02 01:40:00z,29,0,291
2024-04-02 01:45:00z,29,0,118
2024-04-02 01:50:00z,29,0,293
2024-04-02 01:55:00z,29,0,209
2024-04-02 02:00:00z,29,0,284
2024-04-02 02:05:00z,29,0,318
2024-04-02 02:10:00z,29,0,236
2024-04-02 02:15:00z,29,0,331
2024-04-02 02:20:00z,29,0,161
2024-04-02 02:25:00z,29,0,213
2024-04-02 02:30:00z,29,0,246
2024-04-02 02:35:00z,29,0,129
2024-04-02 02:40:00z,29,0,252
2024-04-02 02:45:00z,29,0,275
2024-04-02 02:50:00z,29,0,282
2024-04-02 02:55:00z,29,0,380
2024-04-02 03:00:00z,29,0,237
2024-04-02 03:05:00z,29,0,354
2024-04-02 03:10:00z,29,0,266
2024-04-02 03:15:00z,30,0,309
2024-04-02 03:20:00z,583,0,296
2024-04-02 03:25:00z,1081,0,196
2024-04-02 03:30:00z,35,0,419
2024-04-02 03:35:00z,32,0,363
2024-04-02 03:40:00z,32,0,330
2024-04-02 03:45:00z,32,0,280
2024-04-02 03:50:00z,2387,1,148
2024-04-02 03:55:00z,4395,4,268
2024-04-02 04:00:00z,4347,0,204
2024-04-02 04:05:00z,2686,0,246
2024-04-02 04:10:00z,2757,0,387
2024-04-02 04:15:00z,2837,0,242
2024-04-02 04:20:00z,3081,0,370
2024-04-02 04:25:00z,3206,0,246
2024-04-02 04:30:00z,3397,0,244
2024-04-02 04:35:00z,74,0,306
2024-04-02 04:40:00z,38,0,282
2024-04-02 04:45:00z,36,0,323
2024-04-02 04:50:00z,36,0,382
2024-04-02 04:55:00z,2011,0,385
2024-04-02 05:00:00z,3438,0,410
2024-04-02 05:05:00z,55,60,435
2024-04-02 05:10:00z,37,108,239
2024-04-02 05:15:00z,35,144,327
2024-04-02 05:20:00z,74,187,299
2024-04-02 05:25:00z,3371,283,775
2024-04-02 05:30:00z,743,421,2649
2024-04-02 05:35:00z,36,549,2726
2024-04-02 05:40:00z,34,786,2612
2024-04-02 05:45:00z,36,943,2665
2024-04-02 05:50:00z,2728,938,439
2024-04-02 05:55:00z,1421,1064,490
2024-04-02 06:00:00z,36,1290,2499
2024-04-02 06:05:00z,34,1420,2404
2024-04-02 06:10:00z,34,1436,3042
2024-04-02 06:15:00z,1980,1490,3590
2024-04-02 06:20:00z,2070,1488,2689
2024-04-02 06:25:00z,36,1535,2933
2024-04-02 06:30:00z,34,1834,1396
2024-04-02 06:35:00z,33,2025,611
2024-04-02 06:40:00z,33,2123,477
2024-04-02 06:45:00z,2632,2184,401
2024-04-02 06:50:00z,1393,2404,952
2024-04-02 06:55:00z,36,2643,834
2024-04-02 07:00:00z,30,3200,513
2024-04-02 07:05:00z,29,3231,676
2024-04-02 07:10:00z,49,3919,441
2024-04-02 07:15:00z,3249,4406,520
2024-04-02 07:20:00z,47,4951,599
2024-04-02 07:25:00z,30,5592,358
2024-04-02 07:30:00z,28,5957,463
2024-04-02 07:35:00z,28,6149,619
2024-04-02 07:40:00z,59,5550,528
2024-04-02 07:45:00z,2655,6430,328
2024-04-02 07:50:00z,47,6280,417
2024-04-02 07:55:00z,30,6989,373
2024-04-02 08:00:00z,28,8410,398
2024-04-02 08:05:00z,28,4555,294
2024-04-02 08:10:00z,28,4576,341
2024-04-02 08:15:00z,57,5207,412
2024-04-02 08:20:00z,2579,6682,362
2024-04-02 08:25:00z,32,7779,456
2024-04-02 08:30:00z,30,7197,306
2024-04-02 08:35:00z,28,7733,365
2024-04-02 08:40:00z,28,6141,432
2024-04-02 08:45:00z,29,4273,488
2024-04-02 08:50:00z,56,5947,466
2024-04-02 08:55:00z,2527,3591,491
2024-04-02 09:00:00z,31,5778,373
2024-04-02 09:05:00z,30,4073,558
2024-04-02 09:10:00z,29,3786,401
2024-04-02 09:15:00z,29,4633,565
2024-04-02 09:20:00z,29,4134,315
2024-04-02 09:25:00z,29,5011,452
2024-04-02 09:30:00z,2443,3372,271
2024-04-02 09:35:00z,47,2418,440
2024-04-02 09:40:00z,31,2043,323
2024-04-02 09:45:00z,29,1906,536
2024-04-02 09:50:00z,29,3645,348
2024-04-02 09:55:00z,29,3226,589
2024-04-02 10:00:00z,677,2481,377
2024-04-02 10:05:00z,2526,2292,2689
2024-04-02 10:10:00z,32,3467,2303
2024-04-02 10:15:00z,30,1925,1643
2024-04-02 10:20:00z,29,1373,382
2024-04-02 10:25:00z,29,1195,636
2024-04-02 10:30:00z,29,1920,492
2024-04-02 10:35:00z,2462,3401,907
2024-04-02 10:40:00z,676,1802,2601
2024-04-02 10:45:00z,32,1288,2297
2024-04-02 10:50:00z,29,1275,2104
2024-04-02 10:55:00z,29,4647,2273
2024-04-02 11:00:00z,29,5814,2114
2024-04-02 11:05:00z,1911,5197,1530
2024-04-02 11:10:00z,1310,7328,1561
2024-04-02 11:15:00z,32,5985,560
2024-04-02 11:20:00z,29,7083,353
2024-04-02 11:25:00z,29,5886,741
2024-04-02 11:30:00z,29,3776,247
2024-04-02 11:35:00z,29,2856,576
2024-04-02 11:40:00z,29,2323,697
2024-04-02 11:45:00z,29,2560,376
2024-04-02 11:50:00z,637,3857,266
2024-04-02 11:55:00z,2483,4050,431
2024-04-02 12:00:00z,32,3851,323
2024-04-02 12:05:00z,30,4849,419
2024-04-02 12:10:00z,29,6047,270
2024-04-02 12:15:00z,29,7692,318
2024-04-02 12:20:00z,29,3054,242
2024-04-02 12:25:00z,29,2849,1567
2024-04-02 12:30:00z,29,3031,259
2024-04-02 12:35:00z,59,2440,486
2024-04-02 12:40:00z,2449,3405,337
2024-04-02 12:45:00z,32,8242,433
2024-04-02 12:50:00z,31,5529,280
2024-04-02 12:55:00z,29,3000,489
2024-04-02 13:00:00z,29,7748,319
2024-04-02 13:05:00z,29,11779,390
2024-04-02 13:10:00z,3271,12663,453
2024-04-02 13:15:00z,4529,8715,359
2024-04-02 13:20:00z,1995,2607,328
2024-04-02 13:25:00z,67,3623,532
2024-04-02 13:30:00z,30,3038,348
2024-04-02 13:35:00z,30,2521,460
2024-04-02 13:40:00z,1777,5996,214
2024-04-02 13:45:00z,1278,4548,432
2024-04-02 13:50:00z,32,4041,251
2024-04-02 13:55:00z,30,3328,436
2024-04-02 14:00:00z,30,3587,2069
2024-04-02 14:05:00z,30,5730,461
2024-04-02 14:10:00z,30,4783,1565
2024-04-02 14:15:00z,606,5099,1972
2024-04-02 14:20:00z,1841,5149,1108
2024-04-02 14:25:00z,32,6188,1142
2024-04-02 14:30:00z,30,4634,793
2024-04-02 14:35:00z,30,4694,1079
2024-04-02 14:40:00z,29,4085,1206
2024-04-02 14:45:00z,30,4429,833
2024-04-02 14:50:00z,30,4109,1276
2024-04-02 14:55:00z,30,3555,752
2024-04-02 15:00:00z,1194,3699,1258
2024-04-02 15:05:00z,1226,3918,614
2024-04-02 15:10:00z,33,3679,415
2024-04-02 15:15:00z,30,2722,219
2024-04-02 15:20:00z,29,2779,358
2024-04-02 15:25:00z,30,2817,315
2024-04-02 15:30:00z,51,3352,317
2024-04-02 15:35:00z,2351,2159,328
2024-04-02 15:40:00z,33,1823,297
2024-04-02 15:45:00z,31,1672,342
2024-04-02 15:50:00z,30,1557,209
2024-04-02 15:55:00z,30,1514,419
2024-04-02 16:00:00z,30,1472,213
2024-04-02 16:05:00z,1792,1455,466
2024-04-02 16:10:00z,1253,1272,479
2024-04-02 16:15:00z,33,1408,1081
2024-04-02 16:20:00z,30,1191,721
2024-04-02 16:25:00z,30,1685,346
2024-04-02 16:30:00z,30,1053,255
2024-04-02 16:35:00z,30,1009,303
2024-04-02 16:40:00z,1860,579,352
2024-04-02 16:45:00z,656,263,358
2024-04-02 16:50:00z,32,366,480
2024-04-02 16:55:00z,30,625,382
2024-04-02 17:00:00z,30,621,499
2024-04-02 17:05:00z,1218,441,347
2024-04-02 17:10:00z,2495,466,371
2024-04-02 17:15:00z,32,500,325
2024-04-02 17:20:00z,31,629,428
2024-04-02 17:25:00z,30,408,293
2024-04-02 17:30:00z,29,236,527
2024-04-02 17:35:00z,587,187,252
2024-04-02 17:40:00z,3102,170,549
2024-04-02 17:45:00z,48,87,336
2024-04-02 17:50:00z,31,54,506
2024-04-02 17:55:00z,30,32,335
2024-04-02 18:00:00z,30,27,467
2024-04-02 18:05:00z,30,13,350
2024-04-02 18:10:00z,2478,6,362
2024-04-02 18:15:00z,681,1,394
2024-04-02 18:20:00z,32,0,427
2024-04-02 18:25:00z,29,0,448
2024-04-02 18:30:00z,30,0,397
2024-04-02 18:35:00z,469,0,463
2024-04-02 18:40:00z,3152,1,368
2024-04-02 18:45:00z,364,0,159
2024-04-02 18:50:00z,32,0,396
2024-04-02 18:55:00z,29,0,465
2024-04-02 19:00:00z,29,0,425
2024-04-02 19:05:00z,39,0,414
2024-04-02 19:10:00z,3107,3,453
2024-04-02 19:15:00z,999,0,649
2024-04-02 19:20:00z,32,0,315
2024-04-02 19:25:00z,29,0,316
2024-04-02 19:30:00z,29,0,355
2024-04-02 19:35:00z,53,0,248
2024-04-02 19:40:00z,3143,3,363
2024-04-02 19:45:00z,700,0,373
2024-04-02 19:50:00z,31,0,349
2024-04-02 19:55:00z,29,0,304
2024-04-02 20:00:00z,29,0,249
2024-04-02 20:05:00z,29,0,333
2024-04-02 20:10:00z,29,0,302
2024-04-02 20:15:00z,29,0,310
2024-04-02 20:20:00z,29,0,360
2024-04-02 20:25:00z,29,0,358
2024-04-02 20:30:00z,29,0,303
2024-04-02 20:35:00z,29,0,281
2024-04-02 20:40:00z,29,0,292
2024-04-02 20:45:00z,26,0,285
2024-04-02 20:50:00z,26,0,289
2024-04-02 20:55:00z,27,0,257
2024-04-02 21:00:00z,27,0,351
2024-04-02 21:05:00z,27,0,330
2024-04-02 21:10:00z,27,0,386
2024-04-02 21:15:00z,27,0,326
2024-04-02 21:20:00z,27,0,316
2024-04-02 21:25:00z,27,0,320
2024-04-02 21:30:00z,28,0,311
2024-04-02 21:35:00z,28,0,306
2024-04-02 21:40:00z,28,0,316
2024-04-02 21:45:00z,28,0,420
2024-04-02 21:50:00z,28,0,338
2024-04-02 21:55:00z,28,0,375
2024-04-02 22:00:00z,28,0,252
2024-04-02 22:05:00z,28,0,293
2024-04-02 22:10:00z,28,0,216
2024-04-02 22:15:00z,28,0,354
2024-04-02 22:20:00z,28,0,230
2024-04-02 22:25:00z,28,0,365
2024-04-02 22:30:00z,28,0,286
2024-04-02 22:35:00z,28,0,345
2024-04-02 22:40:00z,28,0,214
2024-04-02 22:45:00z,28,0,291
2024-04-02 22:50:00z,28,0,168
2024-04-02 22:55:00z,28,0,338
2024-04-02 23:00:00z,28,0,155
2024-04-02 23:05:00z,28,0,356
2024-04-02 23:10:00z,28,0,353
2024-04-02 23:15:00z,28,0,564
2024-04-02 23:20:00z,28,0,354
2024-04-02 23:25:00z,28,0,355
2024-04-02 23:30:00z,28,0,185
2024-04-02 23:35:00z,28,0,352
2024-04-02 23:40:00z,28,0,194
2024-04-02 23:45:00z,28,0,422
2024-04-02 23:50:00z,28,0,248
2024-04-02 23:55:00z,28,0,411
2024-04-03 00:00:00z,29,0,247
2024-04-03 00:05:00z,28,0,373
2024-04-03 00:10:00z,28,0,0
2024-04-03 00:15:00z,28,0,365
2024-04-03 00:20:00z,29,0,279
2024-04-03 00:25:00z,29,0,327
2024-04-03 00:30:00z,29,0,215
2024-04-03 00:35:00z,29,0,293
2024-04-03 00:40:00z,29,0,209
2024-04-03 00:45:00z,29,0,256
2024-04-03 00:50:00z,29,0,293
2024-04-03 00:55:00z,29,0,335
2024-04-03 01:00:00z,29,0,375
2024-04-03 01:05:00z,29,0,338
2024-04-03 01:10:00z,29,0,343
2024-04-03 01:15:00z,29,0,265
2024-04-03 01:20:00z,29,0,339
2024-04-03 01:25:00z,29,0,215
2024-04-03 01:30:00z,29,0,410
2024-04-03 01:35:00z,29,0,288
2024-04-03 01:40:00z,29,0,413
2024-04-03 01:45:00z,29,0,269
2024-04-03 01:50:00z,29,0,292
2024-04-03 01:55:00z,29,0,206
2024-04-03 02:00:00z,29,0,285
2024-04-03 02:05:00z,29,0,203
2024-04-03 02:10:00z,29,0,211
2024-04-03 02:15:00z,29,0,385
2024-04-03 02:20:00z,29,0,229
2024-04-03 02:25:00z,29,0,415
2024-04-03 02:30:00z,29,0,158
2024-04-03 02:35:00z,29,0,334
2024-04-03 02:40:00z,29,0,166
2024-04-03 02:45:00z,29,0,252
2024-04-03 02:50:00z,29,0,256
2024-04-03 02:55:00z,29,0,300
2024-04-03 03:00:00z,29,0,328
2024-04-03 03:05:00z,29,0,291
2024-04-03 03:10:00z,29,0,338
2024-04-03 03:15:00z,29,0,170
2024-04-03 03:20:00z,29,0,339
2024-04-03 03:25:00z,29,0,171
2024-04-03 03:30:00z,29,0,299
2024-04-03 03:35:00z,29,0,228
2024-04-03 03:40:00z,29,0,291
2024-04-03 03:45:00z,29,0,351
2024-04-03 03:50:00z,29,0,227
2024-04-03 03:55:00z,29,0,339
2024-04-03 04:00:00z,1733,1,158
2024-04-03 04:05:00z,2822,1,304
2024-04-03 04:10:00z,2926,1,204
2024-04-03 04:15:00z,3032,1,283
2024-04-03 04:20:00z,3184,1,298
2024-04-03 04:25:00z,717,0,347
2024-04-03 04:30:00z,38,0,377
2024-04-03 04:35:00z,36,0,344
2024-04-03 04:40:00z,36,0,477
2024-04-03 04:45:00z,697,0,350
2024-04-03 04:50:00z,2622,1,877
2024-04-03 04:55:00z,38,0,371
2024-04-03 05:00:00z,36,3,615
2024-04-03 05:05:00z,35,24,386
2024-04-03 05:10:00z,63,86,493
2024-04-03 05:15:00z,3193,159,351
2024-04-03 05:20:00z,714,187,393
2024-04-03 05:25:00z,36,215,373
2024-04-03 05:30:00z,34,218,351
2024-04-03 05:35:00z,35,167,310
2024-04-03 05:40:00z,1946,164,293
2024-04-03 05:45:00z,1384,133,1184
2024-04-03 05:50:00z,38,121,1075
2024-04-03 05:55:00z,34,167,434
2024-04-03 06:00:00z,34,283,218
2024-04-03 06:05:00z,614,320,368
2024-04-03 06:10:00z,3251,172,224
2024-04-03 06:15:00z,53,227,363
2024-04-03 06:20:00z,35,369,228
2024-04-03 06:25:00z,34,337,418
2024-04-03 06:30:00z,34,346,353
2024-04-03 06:35:00z,1932,313,425
