timestep,price_el_demand,price_el_source
637,-48.99,48.99
638,-50.71,50.71
639,-51.92,51.92
640,-51.92,51.92
641,-51.47,51.47
642,-55.53,55.53
643,-79.92,79.92
644,-58.83,58.83
645,-47.25,47.25
646,-35.08,35.08
647,-32.08,32.08
648,-30.94,30.94
649,-32.03,32.03
650,-31.06,31.06
651,-30.28,30.28
652,-29.57,29.57
653,-30.16,30.16
654,-31.21,31.21
655,-41.47,41.47
656,-55.05,55.05
657,-56.58,56.58
658,-54.52,54.52
659,-51.25,51.25
660,-48.9,48.9
661,-34.87,34.87
662,-39.31,39.31
663,-46.5,46.5
664,-48,48
665,-49.77,49.77
666,-57.75,57.75
667,-57.15,57.15
668,-50.93,50.93
669,-50,50
670,-40.54,40.54
671,-37.9,37.9
672,-32.06,32.06
673,-31.14,31.14
674,-30.54,30.54
675,-29.63,29.63
676,-28.98,28.98
677,-29.55,29.55
678,-31.08,31.08
679,-33.96,33.96
680,-52.96,52.96
681,-52.95,52.95
682,-51.99,51.99
683,-48.96,48.96
684,-45.03,45.03
685,-34.44,34.44
686,-33.96,33.96
687,-34.79,34.79
688,-42.31,42.31
689,-47.02,47.02
690,-52.96,52.96
691,-52.94,52.94
692,-49.01,49.01
693,-40.55,40.55
694,-33.17,33.17
695,-32.54,32.54
696,-31.47,31.47
697,-31.11,31.11
698,-30.49,30.49
699,-29.11,29.11
700,-29.2,29.2
701,-30.32,30.32
702,-31.03,31.03
703,-34.11,34.11
704,-53.07,53.07
705,-53.58,53.58
706,-53.02,53.02
707,-51.4,51.4
708,-49.64,49.64
709,-47.75,47.75
710,-50.29,50.29
711,-50.49,50.49
712,-51.5,51.5
713,-51.56,51.56
714,-55.12,55.12
715,-60.75,60.75
716,-53.71,53.71
717,-48.99,48.99
718,-37.06,37.06
719,-33.89,33.89
720,-32.73,32.73
721,-32.24,32.24
722,-31.64,31.64
723,-31.11,31.11
724,-31.12,31.12
725,-31.72,31.72
726,-31.88,31.88
727,-43.33,43.33
728,-61.66,61.66
729,-62.95,62.95
730,-66.53,66.53
731,-60.99,60.99
732,-60.93,60.93
733,-52.93,52.93
734,-48.14,48.14
735,-45,45
736,-44.1,44.1
737,-44.23,44.23
738,-52.92,52.92
739,-61.76,61.76
740,-56.35,56.35
741,-49.08,49.08
742,-35.36,35.36
743,-33.09,33.09
744,-31.38,31.38
745,-30.7,30.7
746,-28.94,28.94
747,-24.66,24.66
748,-20.87,20.87
749,-20.18,20.18
750,-20.71,20.71
751,-17.57,17.57
752,-20.88,20.88
753,-26.59,26.59
754,-30.56,30.56
755,-30.6,30.6
756,-30.98,30.98
757,-30.84,30.84
758,-30.85,30.85
759,-30.7,30.7
760,-32.8,32.8
761,-33.28,33.28
762,-43.56,43.56
763,-50.02,50.02
764,-44.94,44.94
765,-32.24,32.24
766,-33.04,33.04
767,-33.04,33.04
768,-30.1,30.1
769,-24.73,24.73
770,-20.07,20.07
771,-13.91,13.91
772,-12.74,12.74
773,-13.18,13.18
774,-14.07,14.07
775,-12.56,12.56
776,-12.59,12.59
777,-22.07,22.07
778,-30.44,30.44
779,-31.26,31.26
780,-31.82,31.82
781,-33.04,33.04
782,-31.08,31.08
783,-30.8,30.8
784,-31.03,31.03
785,-32.95,32.95
786,-36.15,36.15
787,-48.49,48.49
788,-46.96,46.96
789,-36.82,36.82
790,-32.99,32.99
791,-32.91,32.91
792,-30.38,30.38
793,-33.42,33.42
794,-32.32,32.32
795,-31.55,31.55
796,-31.56,31.56
797,-31.52,31.52
798,-33.06,33.06
799,-54.1,54.1
800,-71.89,71.89
801,-72.94,72.94
802,-67.5,67.5
803,-57.18,57.18
804,-54.63,54.63
805,-52.9,52.9
806,-51.96,51.96
807,-46.82,46.82
808,-47.14,47.14
809,-46.76,46.76
810,-54.09,54.09
811,-54.19,54.19
812,-53.23,53.23
813,-47.16,47.16
814,-33.8,33.8
815,-33,33
816,-29.87,29.87
817,-29.68,29.68
818,-30.04,30.04
819,-28.95,28.95
820,-28.92,28.92
821,-30,30
822,-30.62,30.62
823,-43.94,43.94
824,-60.3,60.3
825,-58.49,58.49
826,-53.88,53.88
827,-48.05,48.05
828,-46.09,46.09
829,-42.92,42.92
830,-46.09,46.09
831,-48.05,48.05
832,-47.59,47.59
833,-48.03,48.03
834,-53.05,53.05
835,-63.99,63.99
836,-55.73,55.73
837,-48,48
838,-41.26,41.26
839,-36.69,36.69
840,-32.08,32.08
841,-30.53,30.53
842,-29.98,29.98
843,-28.99,28.99
844,-26.86,26.86
845,-27.38,27.38
846,-28.08,28.08
847,-33.51,33.51
848,-41.97,41.97
849,-46.21,46.21
850,-34.18,34.18
851,-32.54,32.54
852,-32.37,32.37
853,-33.15,33.15
854,-35.56,35.56
855,-39.9,39.9
856,-43.92,43.92
857,-42.55,42.55
858,-49.69,49.69
859,-50.36,50.36
860,-46.85,46.85
861,-36.79,36.79
862,-31.43,31.43
863,-31.06,31.06
864,-29.58,29.58
865,-25.72,25.72
866,-20.94,20.94
867,-24.03,24.03
868,-21.96,21.96
869,-27.07,27.07
870,-29.04,29.04
871,-32.12,32.12
872,-45.07,45.07
873,-39.91,39.91
874,-39.94,39.94
875,-32.69,32.69
876,-32.24,32.24
877,-31.78,31.78
878,-31.89,31.89
879,-32.2,32.2
880,-45.02,45.02
881,-47.89,47.89
882,-55.89,55.89
883,-66.01,66.01
884,-50.07,50.07
885,-38.93,38.93
886,-31.5,31.5
887,-31.6,31.6
888,-27.72,27.72
889,-23.64,23.64
890,-19.51,19.51
891,-14.66,14.66
892,-12.18,12.18
893,-12.8,12.8
894,-15.42,15.42
895,-30.68,30.68
896,-33.12,33.12
897,-43.28,43.28
898,-44,44
899,-32.97,32.97
900,-31.9,31.9
901,-31.71,31.71
902,-31.26,31.26
903,-31.11,31.11
904,-31.22,31.22
905,-31.3,31.3
906,-35.96,35.96
907,-35.99,35.99
908,-33.9,33.9
909,-31.12,31.12
910,-29.98,29.98
911,-28.99,28.99
912,-25.62,25.62
913,-24.65,24.65
914,-24.06,24.06
915,-25.9,25.9
916,-24.93,24.93
917,-25.99,25.99
918,-24.58,24.58
919,-24.04,24.04
920,-27.7,27.7
921,-29.51,29.51
922,-29.48,29.48
923,-28.07,28.07
924,-26.76,26.76
925,-28.03,28.03
926,-25.5,25.5
927,-25.96,25.96
928,-28.81,28.81
929,-28.03,28.03
930,-32.63,32.63
931,-42.58,42.58
932,-33.88,33.88
933,-27.57,27.57
934,-24.6,24.6
935,-27.55,27.55
936,-23.6,23.6
937,-14.23,14.23
938,-13.02,13.02
939,-12.87,12.87
940,-10.88,10.88
941,-9.72,9.72
942,-9.36,9.36
943,-10.63,10.63
944,-10.54,10.54
945,-11.04,11.04
946,-19.16,19.16
947,-17.7,17.7
948,-17.29,17.29
949,-14.68,14.68
950,-11.16,11.16
951,-10.5,10.5
952,-13.02,13.02
953,-23.08,23.08
954,-31.62,31.62
955,-35.79,35.79
956,-36.81,36.81
957,-31.23,31.23
958,-27.97,27.97
959,-30.04,30.04
960,-25.31,25.31
961,-21.73,21.73
962,-23.9,23.9
963,-22.22,22.22
964,-23.86,23.86
965,-23.08,23.08
966,-26.84,26.84
967,-45.43,45.43
968,-57.89,57.89
969,-52.61,52.61
970,-52.18,52.18
971,-46.88,46.88
972,-45.99,45.99
973,-41.69,41.69
974,-46.83,46.83
975,-48.3,48.3
976,-51.47,51.47
977,-47.44,47.44
978,-54.94,54.94
979,-59.94,59.94
980,-45.04,45.04
981,-43.66,43.66
982,-33.59,33.59
983,-31.99,31.99
984,-30.06,30.06
985,-30.75,30.75
986,-30.01,30.01
987,-29.45,29.45
988,-28.27,28.27
989,-28.05,28.05
990,-29.43,29.43
991,-33.04,33.04
992,-53.8,53.8
993,-55.34,55.34
994,-55.92,55.92
995,-54.1,54.1
996,-45.08,45.08
997,-32.41,32.41
998,-31.98,31.98
999,-32.15,32.15
1000,-33.38,33.38
1001,-41,41
1002,-51.9,51.9
1003,-56.48,56.48
1004,-47.98,47.98
1005,-34.92,34.92
1006,-30.78,30.78
1007,-29.96,29.96
1008,-27.86,27.86
1009,-26.64,26.64
1010,-25.43,25.43
1011,-26.02,26.02
1012,-27.55,27.55
1013,-28.83,28.83
1014,-29.04,29.04
1015,-37.5,37.5
1016,-55.53,55.53
1017,-47,47
1018,-39.05,39.05
1019,-34.18,34.18
1020,-32.53,32.53
1021,-32.1,32.1
1022,-31.73,31.73
1023,-31.92,31.92
1024,-32.52,32.52
1025,-40.93,40.93
1026,-44.99,44.99
1027,-47.92,47.92
1028,-40.81,40.81
1029,-32.52,32.52
1030,-30.51,30.51
1031,-28.28,28.28
1032,-20.11,20.11
1033,-11.4,11.4
1034,-10.7,10.7
1035,-9.94,9.94
1036,-8.34,8.34
1037,-10.83,10.83
1038,-14.5,14.5
1039,-29.7,29.7
1040,-32.82,32.82
1041,-32.9,32.9
1042,-33.11,33.11
1043,-32.09,32.09
1044,-31.76,31.76
1045,-31.73,31.73
1046,-33.94,33.94
1047,-40.75,40.75
1048,-45.25,45.25
1049,-42.91,42.91
1050,-48.66,48.66
1051,-68.92,68.92
1052,-58.69,58.69
1053,-52.81,52.81
1054,-42,42
1055,-36.37,36.37
1056,-30.57,30.57
1057,-28.01,28.01
1058,-26.81,26.81
1059,-24.78,24.78
1060,-22.45,22.45
1061,-25.63,25.63
1062,-29.44,29.44
1063,-35.05,35.05
1064,-46.92,46.92
1065,-47.95,47.95
1066,-33.99,33.99
1067,-31.5,31.5
1068,-31.43,31.43
1069,-30.92,30.92
1070,-30.92,30.92
1071,-31.48,31.48
1072,-36.2,36.2
1073,-40,40
1074,-48.94,48.94
1075,-53.48,53.48
1076,-48.73,48.73
1077,-36.97,36.97
1078,-30.39,30.39
1079,-30.61,30.61
1080,-25.36,25.36
1081,-9.09,9.09
1082,-10.85,10.85
1083,-4.91,4.91
1084,-0.08,0.08
1085,-10.11,10.11
1086,-8.42,8.42
1087,-0.02,0.02
1088,-10.99,10.99
1089,-18.26,18.26
1090,-21.41,21.41
1091,-21.54,21.54
1092,-23.08,23.08
1093,-20.48,20.48
1094,-19.17,19.17
1095,-16.61,16.61
1096,-19.33,19.33
1097,-20.46,20.46
1098,-27.73,27.73
1099,-39.29,39.29
1100,-37.94,37.94
1101,-27.97,27.97
1102,-20.41,20.41
1103,-16.67,16.67
1104,-9.63,9.63
1105,-8.91,8.91
1106,-0.05,0.05
1107,0.69,-0.69
1108,-0.04,0.04
1109,-5.29,5.29
1110,-0.1,0.1
1111,3.77,-3.77
1112,0.06,-0.06
1113,-4.12,4.12
1114,-13.37,13.37
1115,-16.81,16.81
1116,-17.86,17.86
1117,-16.07,16.07
1118,-11.2,11.2
1119,-11.38,11.38
1120,-10.48,10.48
1121,-13.34,13.34
1122,-21.89,21.89
1123,-40.15,40.15
1124,-42.03,42.03
1125,-33.12,33.12
1126,-29.75,29.75
1127,-34.38,34.38
1128,-27.34,27.34
1129,-25.5,25.5
1130,-24.23,24.23
1131,-23.33,23.33
1132,-17.52,17.52
1133,-19.63,19.63
1134,-26.47,26.47
1135,-40.99,40.99
1136,-49.64,49.64
1137,-48.33,48.33
1138,-44.97,44.97
1139,-35.01,35.01
1140,-31.68,31.68
1141,-31.23,31.23
1142,-31.24,31.24
1143,-32.14,32.14
1144,-37.25,37.25
1145,-40.33,40.33
1146,-44.94,44.94
1147,-82.04,82.04
1148,-71.74,71.74
1149,-56.51,56.51
1150,-47.19,47.19
1151,-39.94,39.94
1152,-30.76,30.76
1153,-31.94,31.94
1154,-31.38,31.38
1155,-30.09,30.09
1156,-28.86,28.86
1157,-29.2,29.2
1158,-31.3,31.3
1159,-42.03,42.03
1160,-56.19,56.19
1161,-54.9,54.9
1162,-47.67,47.67
1163,-33.69,33.69
1164,-32.48,32.48
1165,-31.75,31.75
1166,-32.2,32.2
1167,-36.98,36.98
1168,-43.44,43.44
1169,-45.72,45.72
1170,-53.91,53.91
1171,-73.68,73.68
1172,-59.98,59.98
1173,-45.94,45.94
1174,-39.68,39.68
1175,-34.02,34.02
1176,-30.87,30.87
1177,-30.61,30.61
1178,-29.65,29.65
1179,-28.46,28.46
1180,-27.67,27.67
1181,-28.51,28.51
1182,-29.34,29.34
1183,-38.19,38.19
1184,-47.45,47.45
1185,-48.19,48.19
1186,-49.22,49.22
1187,-53.93,53.93
1188,-53.96,53.96
1189,-50.76,50.76
1190,-49.48,49.48
1191,-49.37,49.37
1192,-47.95,47.95
1193,-44.71,44.71
1194,-47.44,47.44
1195,-70,70
1196,-59.54,59.54
1197,-54.27,54.27
1198,-47.02,47.02
1199,-37.32,37.32
1200,-31.43,31.43
1201,-30.09,30.09
1202,-29.47,29.47
1203,-28.87,28.87
1204,-27.75,27.75
1205,-27.69,27.69
1206,-27.85,27.85
1207,-34.51,34.51
1208,-46.28,46.28
1209,-48.34,48.34
1210,-48.28,48.28
1211,-44.05,44.05
1212,-42.46,42.46
1213,-33.62,33.62
1214,-31.98,31.98
1215,-31.54,31.54
1216,-32.19,32.19
1217,-32.45,32.45
1218,-40.98,40.98
1219,-46,46
1220,-38.55,38.55
1221,-31.27,31.27
1222,-30.2,30.2
1223,-28.84,28.84
1224,-25.17,25.17
1225,-20.49,20.49
1226,-22.15,22.15
1227,-20.84,20.84
1228,-19.42,19.42
1229,-21.02,21.02
1230,-26.64,26.64
1231,-35.83,35.83
1232,-45.92,45.92
1233,-45.92,45.92
1234,-41.28,41.28
1235,-39.42,39.42
1236,-40.92,40.92
1237,-40.91,40.91
1238,-33.08,33.08
1239,-32.16,32.16
1240,-32.1,32.1
1241,-31.68,31.68
1242,-42.9,42.9
1243,-49.44,49.44
1244,-49.96,49.96
1245,-43.9,43.9
1246,-32.63,32.63
1247,-32.01,32.01
1248,-28.82,28.82
1249,-27.27,27.27
1250,-23.91,23.91
1251,-20.41,20.41
1252,-21.02,21.02
1253,-18.67,18.67
1254,-20.46,20.46
1255,-20.26,20.26
